name,urls,exodus_link
Heyzap (bought by Fyber),"ads.heyzap.com, fyc.heyzap.com, img-cloudflare-2.haizap.com, img-cloudflare.haizap.com, med.heyzap.com, x.heyzap.com",https://reports.exodus-privacy.eu.org/en/trackers/147/
HockeyApp,hockeyapp.net,https://reports.exodus-privacy.eu.org/en/trackers/26/
Houndify,houndify.com,https://reports.exodus-privacy.eu.org/en/trackers/209/
Huawei Mobile Services (HMS) Core,"hicloud.com, dbankcloud.ru, dbankcloud.cn, dbankcloud.com",https://reports.exodus-privacy.eu.org/en/trackers/333/
HyperTrack,"trck.at, hypertrack.amazonaws.com, api.hypertrack.com",https://reports.exodus-privacy.eu.org/en/trackers/77/
HyprMX,hyprmx.com,https://reports.exodus-privacy.eu.org/en/trackers/189/
IBM Digital Analytics,data.de.coremetrics.com,https://reports.exodus-privacy.eu.org/en/trackers/362/
IBM Mobile Marketing (Acoustic),sdk6.ibm.xtify.com,https://reports.exodus-privacy.eu.org/en/trackers/420/
INFOnline,de.ioam.de,https://reports.exodus-privacy.eu.org/en/trackers/197/
IPQualityScore,ipqualityscore.com,https://reports.exodus-privacy.eu.org/en/trackers/351/
In Loco,inlocomedia.com,https://reports.exodus-privacy.eu.org/en/trackers/231/
InMarket,m2m-api.inmarket.com,https://reports.exodus-privacy.eu.org/en/trackers/180/
Inmobi,"c.w.inmobi.com, china.inmobi.com, config-ltvp.inmobi.com, config.inmobi.com, et.w.inmobi.com, i.l.inmobicdn.net, i.w.inmobi.com, inmobi.cn, inmobi.com, inmobi.info, inmobi.net, inmobi.us, inmobicdn.com, inmobicdn.net, inmobisdk-a.akamaihd.net, japan.inmobi.com, r.w.inmobi.com, sdkm.w.inmobi.com, sdktm.w.inmobi.com, w.inmobi.com",https://reports.exodus-privacy.eu.org/en/trackers/106/
Inrix,"inrix.com, inrix.io",https://reports.exodus-privacy.eu.org/en/trackers/85/
Instreamatic (Adman),instreamatic.com,https://reports.exodus-privacy.eu.org/en/trackers/204/
Integral Ad Science,"adsafeprotected.com, iasds01.com, integralads.com",https://reports.exodus-privacy.eu.org/en/trackers/218/
JW Player,"g.jwpsrv.com, jwpltx.com, p.jwpcdn.com",https://reports.exodus-privacy.eu.org/en/trackers/8/
Jumio,"mobile-sdk-resources.jumio.com, nv-sdk.jumio.com",https://reports.exodus-privacy.eu.org/en/trackers/344/
Keen,api.keen.io,https://reports.exodus-privacy.eu.org/en/trackers/262/
Kiip,kiip.me,https://reports.exodus-privacy.eu.org/en/trackers/214/
Kochava,"control.kochava.com, kvinit-prod.api.kochava.com",https://reports.exodus-privacy.eu.org/en/trackers/127/
Kontakt,kontakt.io,https://reports.exodus-privacy.eu.org/en/trackers/59/
LeanPlum,leanplum.com,https://reports.exodus-privacy.eu.org/en/trackers/28/
Ligatus,ligatus.com,https://reports.exodus-privacy.eu.org/en/trackers/13/
Lisnr,lisnr.com,https://reports.exodus-privacy.eu.org/en/trackers/79/
Localytics,"analytics.localytics.com, manifest.localytics.com, profile.localytics.com, sdk-assets.localytics.com",https://reports.exodus-privacy.eu.org/en/trackers/16/
Locuslabs,locuslabs.com,https://reports.exodus-privacy.eu.org/en/trackers/60/
Loggly,loggly.com,https://reports.exodus-privacy.eu.org/en/trackers/9/
Lotame,ad.crwdcntrl.net,https://reports.exodus-privacy.eu.org/en/trackers/265/
MDOTM,ads.mdotm.com,https://reports.exodus-privacy.eu.org/en/trackers/302/
Mapbox,"a.tiles.mapbox.com, api.tiles.mapbox.com",https://reports.exodus-privacy.eu.org/en/trackers/171/
Marketo (an Adobe Company),"marketo.com, marketo.net, mktoedge.com, mktossl.com",https://reports.exodus-privacy.eu.org/en/trackers/430/
Matomo (Piwik),matomo.org,https://reports.exodus-privacy.eu.org/en/trackers/138/
Millennial Media,"adtech.de, contextual.media.net, media.net, millennialmedia.com",https://reports.exodus-privacy.eu.org/en/trackers/107/
